topic_id,num_posts,topic_keywords
-1,406,-1_track_to_through_service
0,527,0_track_delays_buses_issues
1,81,1_charliecard_card_cards_debit
2,66,2_passengers_driver_car_stop
3,21,3_track_cars_rl_car
4,16,4_top_5_best_and_worst_bus_routes_top_5_best_and_worst_bus_routes_you_ever_rode_best_and_worst_commuter_rail_line_worst_overall_commuter_rail_line
5,13,5_escalator_escalators_stairs_elevators
6,9,6_smelling_fumes_smell_smells
7,6,7_moderator_mods_mod_complaints
8,6,8_parking_mbta_parking__parking_park
